size,model,precision,recall,roc_auc,accuracy,f1_score
500000,xgb,0.732,0.6388,0.7025,0.7025,0.6823
500000,rf,0.732,0.6388,0.7025,0.7025,0.6823
999998,xgb,0.8471,0.6575,0.7694,0.7694,0.7404
999998,rf,0.8471,0.6575,0.7694,0.7694,0.7404
1499998,xgb,0.8469,0.6809,0.7789,0.7789,0.7549
1499998,rf,0.8469,0.6809,0.7789,0.7789,0.7549
1999995,xgb,0.8503,0.6992,0.7881,0.7881,0.7674
1999995,rf,0.8503,0.6992,0.7881,0.7881,0.7674
2499995,xgb,0.8518,0.7136,0.7947,0.7947,0.7766
2499995,rf,0.8518,0.7136,0.7947,0.7947,0.7766
