size,model,precision,recall,roc_auc,accuracy,f1_score
500000,xgb,0.9069,0.2931,0.6315,0.6315,0.443
500000,rf,0.9069,0.2931,0.6315,0.6315,0.443
999998,xgb,0.9386,0.4431,0.7071,0.7071,0.602
999998,rf,0.9386,0.4431,0.7071,0.7071,0.602
1499998,xgb,0.904,0.5878,0.7627,0.7627,0.7124
1499998,rf,0.904,0.5878,0.7627,0.7627,0.7124
1999995,xgb,0.9372,0.5401,0.7519,0.7519,0.6852
1999995,rf,0.9372,0.5401,0.7519,0.7519,0.6852
2499995,xgb,0.9231,0.5742,0.7632,0.7632,0.708
2499995,rf,0.9231,0.5742,0.7632,0.7632,0.708
