size,model,precision,recall,roc_auc,accuracy,f1_score
49999,xgb,0.8528,0.2352,0.5973,0.5973,0.3687
49999,rf,0.8528,0.2352,0.5973,0.5973,0.3687
99999,xgb,0.8539,0.2491,0.6033,0.6033,0.3857
99999,rf,0.8539,0.2491,0.6033,0.6033,0.3857
149998,xgb,0.8818,0.255,0.6104,0.6104,0.3956
149998,rf,0.8818,0.255,0.6104,0.6104,0.3956
200000,xgb,0.8837,0.257,0.6116,0.6116,0.3982
200000,rf,0.8837,0.257,0.6116,0.6116,0.3982
249999,xgb,0.8984,0.2875,0.6275,0.6275,0.4357
249999,rf,0.8984,0.2875,0.6275,0.6275,0.4357
299999,xgb,0.8994,0.2644,0.6174,0.6174,0.4086
299999,rf,0.8994,0.2644,0.6174,0.6174,0.4086
349998,xgb,0.9242,0.3696,0.6696,0.6696,0.528
349998,rf,0.9242,0.3696,0.6696,0.6696,0.528
399999,xgb,0.9131,0.3273,0.6481,0.6481,0.4819
399999,rf,0.9131,0.3273,0.6481,0.6481,0.4819
449998,xgb,0.9064,0.3006,0.6348,0.6347,0.4514
449998,rf,0.9064,0.3006,0.6348,0.6347,0.4514
499998,xgb,0.9315,0.3884,0.6799,0.6799,0.5482
499998,rf,0.9315,0.3884,0.6799,0.6799,0.5482
549999,xgb,0.9384,0.4088,0.691,0.691,0.5695
549999,rf,0.9384,0.4088,0.691,0.691,0.5695
599999,xgb,0.9148,0.2957,0.6341,0.6341,0.4469
599999,rf,0.9148,0.2957,0.6341,0.6341,0.4469
649999,xgb,0.9254,0.3164,0.6454,0.6454,0.4715
649999,rf,0.9254,0.3164,0.6454,0.6454,0.4715
699998,xgb,0.9269,0.3442,0.6585,0.6585,0.502
699998,rf,0.9269,0.3442,0.6585,0.6585,0.502
749997,xgb,0.923,0.327,0.6499,0.6499,0.4829
749997,rf,0.923,0.327,0.6499,0.6499,0.4829
799999,xgb,0.9351,0.3604,0.6677,0.6677,0.5203
799999,rf,0.9351,0.3604,0.6677,0.6677,0.5203
849999,xgb,0.9388,0.3826,0.6788,0.6788,0.5436
849999,rf,0.9388,0.3826,0.6788,0.6788,0.5436
899998,xgb,0.9398,0.4085,0.6912,0.6912,0.5695
899998,rf,0.9398,0.4085,0.6912,0.6912,0.5695
999998,xgb,0.9386,0.4431,0.7071,0.7071,0.602
999998,rf,0.9386,0.4431,0.7071,0.7071,0.602
1499998,xgb,0.904,0.5878,0.7627,0.7627,0.7124
1499998,rf,0.904,0.5878,0.7627,0.7627,0.7124
1999995,xgb,0.9372,0.5401,0.7519,0.7519,0.6852
1999995,rf,0.9372,0.5401,0.7519,0.7519,0.6852
2499995,xgb,0.9231,0.5742,0.7632,0.7632,0.708
2499995,rf,0.9231,0.5742,0.7632,0.7632,0.708
